note_title,note_author,author_id,likes,comments_count,comment_user,comment_content,comment_time,comment_location,comment_likes,comment_replies
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,开叮叮车撞你,饮水机不到一个月生虫了,2025-09-19,四川,10,12
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,不知道这样可不可以,这是什么虫啊，刚刚我洗的时候也是发现了这个虫 太夸张了，都不敢用了,2025-09-27,四川,3,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,hehaou,我的饮水机也有粉红色的脏东西，为了宠物健康还是不用了,2025-06-29,浙江,1,6
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,念念的记事簿,我也是两个月出头就坏了,2025-09-01,北京,2,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,857857,持续出水模式，底部会漏水，检测以换代修 4 次了，还是一样的问题,2025-06-25,北京,4,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,💫欧力给给给,我就奇怪，为什么每次我家的都会喝到满地都是水,2025-07-02,广东,2,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,zhuzai,所有饮水机都需要2-3天清洗一次的,2025-12-12,江苏,3,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,介枝佑,加的凉白开，两天打开水箱都是臭的，然后换了小佩了,2025-06-18,重庆,1,1
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,吵到我了,小佩的怎么样,2025-10-26,河南,0,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,杨家盛,同款质保到期第一天，坏了，修要花一百块,2025-11-10,江苏,0,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,王卡卡,别买，漏电,2025-10-28,河北,0,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,浓墨重彩,确实没有小佩的合理，希望下一代升级一下。现在放了两个饮水机,2025-06-19,江苏,0,0
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,竹子,非常不好用，灰和浮毛都去不掉。滤芯口还会发霉,2025-07-16,江苏,4,1
壁垒小米宠物饮水机,lllyf97,59df9e2f6eea887e7e42be21,48,61,柠檬🍋,我用的一代也是冲不下去,2025-10-11,北京,0,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,Mr.L,好用吗？会不会结青苔这些，最近也想入手这款,2024-12-29,,17,49
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,结青苔？太夸张了吧，我认为什么东西都需要勤打理，你说是吧,2024-12-29,,88,48
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,一只野颖,请问感应出水是不是只有猫猫走过去他才会出水？走了之后就不会再出水了？,2025-01-07,,3,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,可以理解为猫猫走过去就出水10秒，然后停下来。,2025-01-07,,0,2
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,SY-Lee,这个喂食器什么牌子的呀,2025-01-14,,1,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,小米,2025-01-15,,0,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,Keai_tu,滤芯多久换一次呀，滤芯贵吗,2025-05-12,四川,,1,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,我用纯净水都不用换滤芯,2025-05-12,安徽,,0,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,？！,这个噪音大吗,2025-01-07,,3,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,我感觉没啥噪音，而且我家属于本来只是路过不想喝水，然后感应出水了，猫猫跑过去喝两口,2025-01-07,,2,2
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,蜻蜓队长i,上一代怎么不能手机操作了？,2024-12-29,,6,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,我说的是这个，你那是第一代，上一代无法远程操控,2024-12-29,,1,5
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,Bad Wolf,🐶能用吗,2025-03-21,上海,,1,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,用肯定能用，小型犬可以，大型犬我怕你会嫌弃水箱小了吧，毕竟水箱才3升，你不嫌弃加水麻烦也可以,2025-03-21,安徽,,0,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,祝知恩,请问我新买的这个开感应模式也一直自顾自的在出水，这种情况正常吗,2025-01-14,,1,10
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,没明白你的意思，如果感应出水出一会就不会出了，持续出水会一直出水的,2025-01-14,,2,9
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,手机用户9887321888,交作业了,2025-08-18,山东,,3,0
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,渡丶,哈哈，可以的,2025-08-18,安徽,,0,2
小米宠物饮水机2,渡丶,5cdd820800000000160161e4,1072,389,大河向东刘女士🌀,小米漏电 我用电笔测过,2025-05-23,辽宁,,1,0
